leading_item_id,following_item_id,value
AANGBULD,DDEXPPXU,30717
AANGBULD,GKQIJYDH,10076701
AANGBULD,GYHKIVQT,27779381
AANGBULD,HCDTGMST,77508
AANGBULD,IGDVVKUD,36949
AANGBULD,KJNSOAHR,11534267
AANGBULD,OJIFIHMZ,2668120
AANGBULD,OXKURKXR,112591
AANGBULD,UIFPPCLR,99704
AANGBULD,XIIEJNEE,82837
AHMDUILJ,AANGBULD,372221
AHMDUILJ,ATLDMDBO,36381591
AHMDUILJ,ELQGMQWE,624431
AHMDUILJ,GKQIJYDH,10076701
AHMDUILJ,JERHKLYW,38336
AHMDUILJ,MIRCVAMV,68760
AHMDUILJ,OJIFIHMZ,2668120
AHMDUILJ,SAHWCZNH,2106377
AHMDUILJ,SNHYOVBM,341967
AHMDUILJ,TGOELCAG,236620
AHMDUILJ,UGEQLMXM,222275
AHMDUILJ,UIFPPCLR,99704
AHMDUILJ,XIIEJNEE,82837
AHMDUILJ,ZCELVYQU,146542
ANWUJOKX,AHMDUILJ,123693
ANWUJOKX,BTMOEMEP,9710981
ANWUJOKX,LPHPPJUG,1210984
ANWUJOKX,OGAFEHLU,30717
ANWUJOKX,PLMZALFA,30717
ANWUJOKX,STZDBITS,29055808
ANWUJOKX,TANNMIMB,30717
ANWUJOKX,UQYUIVVR,6321125
ANWUJOKX,XIPPENFQ,130029
ANWUJOKX,XMKRPGLB,1583470
ANWUJOKX,ZKENOUDA,330608
APQGTRMF,DBWLZWNK,196483
APQGTRMF,SNHYOVBM,341967
APQGTRMF,UGEQLMXM,222275
APQGTRMF,WQMVCOEM,67735
ATLDMDBO,ANWUJOKX,30717
ATLDMDBO,BEZYMBBT,3469321
ATLDMDBO,DBWLZWNK,196483
ATLDMDBO,DEWLVASR,324091
ATLDMDBO,FTSVTTSR,223004
ATLDMDBO,LTOYKIML,305347
ATLDMDBO,OGAFEHLU,30717
ATLDMDBO,OJIFIHMZ,2668120
ATLDMDBO,PLMZALFA,30717
