leading_item_id,following_item_id,value
AANGBULD,AHMDUILJ,137321
AANGBULD,BEZYMBBT,3956638
AANGBULD,BLANHGYY,35554
AANGBULD,DEWLVASR,329369
AANGBULD,FDXPMYGF,14588
AANGBULD,FWUCPMMW,22218
AANGBULD,LPHPPJUG,1138931
AANGBULD,LRVGFDFM,14302113
AANGBULD,NZKBIBNU,267456
AANGBULD,QSDCUCLB,7895
AANGBULD,RJGPVEXX,496504
AANGBULD,SAAYMURU,63697
AANGBULD,TANNMIMB,9098
AANGBULD,VMAQSTJE,206725
AANGBULD,VUAFAIYJ,612473
AANGBULD,XIPPENFQ,103885
AANGBULD,YSYHGLQK,10490
AHMDUILJ,ANWUJOKX,15764
AHMDUILJ,BEZYMBBT,4062242
AHMDUILJ,BSRMSVTC,362644
AHMDUILJ,BUZIIBYG,15907870
AHMDUILJ,DEWLVASR,351466
AHMDUILJ,FQCLOEXA,2106294
AHMDUILJ,FTSVTTSR,246016
AHMDUILJ,GYHKIVQT,16894215
AHMDUILJ,HCDTGMST,212540
AHMDUILJ,KAGJCHMR,54284
AHMDUILJ,LPHPPJUG,1144239
AHMDUILJ,OGAFEHLU,5202
AHMDUILJ,PYZMVUWD,12992
AHMDUILJ,QVLMOEYE,1062650
AHMDUILJ,RJGPVEXX,495492
AHMDUILJ,STZDBITS,26402939
AHMDUILJ,VBYCLTYZ,326670
AHMDUILJ,VUAFAIYJ,610889
AHMDUILJ,WBLJNPZQ,164257
AHMDUILJ,WPQXWHYO,9590211
AHMDUILJ,XIPPENFQ,109389
AHMDUILJ,XMKRPGLB,1238737
AHMDUILJ,ZGJXVMNI,3484845
ANWUJOKX,ATLDMDBO,36694607
ANWUJOKX,DUCMGGNW,783803
ANWUJOKX,FDXPMYGF,14614
ANWUJOKX,FITUEHWN,51528
ANWUJOKX,FQCLOEXA,2088638
ANWUJOKX,FTSVTTSR,231266
ANWUJOKX,GMBFCMIU,5108
ANWUJOKX,JPBRUTWP,5902260
ANWUJOKX,KAGJCHMR,54779
ANWUJOKX,KJNSOAHR,25588551
ANWUJOKX,LTOYKIML,318239
ANWUJOKX,SAAYMURU,64660
ANWUJOKX,SDWAYPIK,4947053
